Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
205348;AJ;;0;6;8;7;14;6;14;9;11;15;;11;150;F;19;CPL LE GUIDE
205349;AJ;;0;3;8;8;13;7;9;7;6;14;;8;123;F;21;CEG VOGAN VILLE I
205350;ADM;PASS;4;10;10;6;13;9;14;7;10;15;;14;161;F;14;CS LA REUSSITE
205351;ADM;PASS;1;7;10;10;14;6;10;12;11;14;12;;160;M;20;CEG VOGAN VILLE I
205352;AJ;;0;6;10;9;11;7;10;10;8;10;;13;139;M;16;CEG VOGAN VILLE I
205353;ADM;PASS;6;12;10;6;11;14;13;10;14;10;;17;179;F;14;CEG ADOUHO
205354;ADM;ABIEN;17;15;12;7;13;15;15;13;16;12;;15;221;M;16;CEG ADOUHO
205355;AJ;;0;7;10;5;11;10;11;4;13;15;;15;145;F;15;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205356;ADM;PASS;0;12;9;9;16;5;18;10;12;15;;14;179;F;18;CEG VOGAN VILLE I
205357;AJ;;0;5;10;1;12;8;13;6;10;12;;16;132;F;19;LYCEE VO-KOUTIME
205358;AJ;;0;8;10;1;12;8;12;5;10;14;10;;128;M;19;LYCEE VO-KOUTIME
205359;ADM;PASS;12;16;10;6;15;13;16;7;10;13;;15;190;F;16;CPL LA GRACE 
205360;AJ;;0;8;8;6;10;6;12;6;9;15;0;;127;F;17;CEG VOGAN VILLE I
205361;AJ;;0;1;8;2;13;7;12;7;6;11;;5;112;F;21;LYCEE VO-KOUTIME
205362;AJ;;0;5;7;5;12;9;12;8;9;11;;9;130;M;15;LYCEE VO-KOUTIME
205363;AJ;;0;7;9;5;12;5;10;4;6;14;10;;113;M;18;CEG VOGAN VILLE I
205364;AJ;;0;5;8;3;7;5;6;5;6;12;;8;87;M;20;LYCEE VO-KOUTIME
205365;ADM;PASS;0;9;9;9;16;4;17;12;15;15;13;;181;M;15;CEG VOGAN VILLE I
205366;AJ;;0;5;10;5;16;6;12;5;8;15;;12;136;F;14;CEG VOGAN VILLE I
205367;ADM;PASS;3;9;11;6;16;7;14;12;14;13;;14;179;M;17;CEG VOGAN VILLE I
205368;AJ;;0;5;9;6;11;7;14;9;9;14;7;;139;M;19;CPL LE GUIDE
205369;ADM;PASS;0;8;10;13;14;12;15;12;12;12;14;;190;M;19;CPL LE GUIDE
205370;AJ;;0;4;10;7;13;6;10;6;8;Inap.;9;13;127;F;18;CPL LE GUIDE
205371;AJ;;2;1;7;6;11;9;10;6;7;10;;14;119;F;17;CPL LE GUIDE
205372;ADM;PASS;1;8;10;8;16;6;12;10;12;14;9;;161;M;18;CEG ADOUHO
205373;AJ;;0;4;10;2;10;11;14;9;7;15;;11;136;F;21;LYCEE VO-KOUTIME
205374;ADM;PASS;0;12;10;6;12;10;10;8;17;15;;17;168;F;14;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205375;ADM;PASS;0;5;9;4;14;8;17;7;18;13;;18;167;M;18;CEG VOGAN VILLE I
205376;AJ;;0;3;7;7;10;6;11;4;14;15;14;;130;M;19;CEG VOGAN VILLE I
205377;ADM;PASS;10;14;9;8;14;9;16;11;14;12;12;;190;M;17;CEG VOGAN VILLE I
205378;AJ;;0;4;7;3;5;5;5;4;10;13;;13;88;F;18;LYCEE VO-KOUTIME
205379;AJ;;0;5;10;4;7;7;7;7;15;15;11;;125;F;17;CS LA REUSSITE
205380;AJ;;11;8;10;3;11;7;11;6;10;13;;15;143;M;19;CEG VOGAN VILLE I
205381;AJ;;5;9;10;6;14;8;7;5;14;15;11;;148;M;16;CEG VOGAN VILLE I
205382;AJ;;0;5;10;9;13;7;10;10;12;13;10;;150;M;15;CEG VOGAN VILLE I
205383;AJ;;0;2;7;2;4;4;5;4;8;15;;7;75;F;17;CEG VOGAN VILLE I
205384;AJ;;0;3;11;2;14;9;12;5;13;14;;8;139;M;21;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205385;ADM;PASS;1;7;9;6;12;8;15;8;15;Inap.;12;15;161;M;15;LYCEE VO-KOUTIME
205386;AJ;;0;1;10;8;12;8;9;8;12;Inap.;14;14;143;M;19;CEG VOGAN VILLE I
205387;AJ;;0;7;11;9;12;7;11;7;11;14;12;;149;M;19;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205388;AJ;;0;7;10;4;7;7;10;8;16;14;8;;135;F;15;CS LA REUSSITE
205389;ADM;PASS;1;5;9;8;10;10;16;10;13;12;;9;160;M;22;LYCEE VO-KOUTIME
205390;AJ;;0;4;11;5;10;10;7;6;11;12;13;;129;M;17;CEG VOGAN VILLE I
205391;AJ;;0;6;7;3;7;9;10;5;7;14;;5;106;F;17;LYCEE VO-KOUTIME
205392;ADM;PASS;0;6;8;5;14;13;13;11;14;13;;6;165;F;15;CS LE CADRE DES ELITES
205393;ADM;PASS;8;8;10;9;10;7;10;13;12;12;;13;163;M;18;CEG VOGAN VILLE I
205394;ADM;PASS;0;9;11;8;14;8;12;8;12;11;16;;161;M;16;CEG VOGAN VILLE I
205395;AJ;;0;3;11;1;4;10;8;3;8;15;;11;99;M;15;LYCEE VO-KOUTIME
205396;ADM;ABIEN;0;13;8;9;17;4;17;18;16;12;16;;198;M;15;CEG VOGAN VILLE I
205397;ADM;PASS;0;6;9;10;14;5;14;10;15;15;;11;166;M;17;CEG VOGAN VILLE I
205398;AJ;;0;1;9;4;9;6;9;5;11;13;;7;110;F;18;CEG VOGAN VILLE I
205399;ADM;PASS;0;8;8;9;15;11;17;12;16;15;11;;190;M;17;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205400;ADM;ABIEN;0;11;8;8;17;10;18;14;15;12;11;;194;M;16;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205401;ADM;PASS;1;8;8;8;10;9;14;8;15;12;;17;160;F;20;CPL LA GRACE 
205402;ADM;PASS;1;5;9;6;13;7;17;6;15;15;13;;160;M;22;CEG VOGAN VILLE I
205403;ADM;PASS;0;6;10;4;13;9;17;14;12;12;12;;168;M;15;COLLEGE CATHOLIQUE MINYANU 2 - VOGAN
205404;AJ;;0;2;8;3;13;8;15;7;14;13;;12;143;M;18;LYCEE VO-KOUTIME
205405;AJ;;0;10;8;4;14;6;13;6;13;15;;8;143;M;23;LYCEE VO-KOUTIME
205406;ADM;PASS;0;7;7;7;13;10;16;13;13;12;10;;167;M;19;LYCEE VO-KOUTIME
