Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
405893;ADM;ABIEN;0;6;11;11;16;12;14;12;15;13;15;;196;F;20;CPL LE PARISIEN
405894;ADM;PASS;1;7;13;5;18;6;8;7;15;15;14;;161;M;25;CEG KPANDIYO
405895;ADM;PASS;1;15;11;8;14;12;9;5;18;10;;16;175;F;16;CEG KPANDIYO
405896;ADM;PASS;0;2;10;7;19;11;11;9;16;11;;14;173;M;15;CEG KPANDIYO
405897;ADM;PASS;1;8;11;4;19;6;14;8;15;12;;12;167;F;15;CEG KPANDIYO
405898;ADM;ABIEN;3;8;11;15;17;9;15;16;16;12;16;;216;M;14;CPL LE PARISIEN
405899;ADM;PASS;0;9;13;8;17;9;11;13;17;11;;14;190;F;15;CEG KPANDIYO
405900;ADM;PASS;8;7;14;9;19;5;10;8;17;12;;11;182;F;15;CEG KPANDIYO
405901;ADM;ABIEN;13;10;15;8;18;10;16;7;18;10;;16;212;F;26;CEG KPANDIYO
405902;ADM;PASS;0;7;11;6;16;5;16;8;14;12;;11;162;F;18;CEG KPANDIYO
405903;ADM;PASS;0;12;11;10;18;5;11;8;16;13;;11;174;M;15;CEG KPANDIYO
405904;ADM;PASS;9;13;12;10;16;8;9;10;15;11;13;;186;F;15;CPL LE PARISIEN
405905;ADM;PASS;1;7;11;5;17;8;11;5;19;11;0;8;161;M;16;CEG KPANDIYO
405906;AJ;;0;5;11;3;17;6;7;3;17;10;;12;135;M;17;CEG KPANDIYO
405907;AJ;;0;12;9;4;16;7;8;7;13;14;;14;148;F;15;CEG KPANDIYO
405908;ADM;PASS;0;12;12;10;19;8;11;8;15;14;;4;182;M;19;CEG KPANDIYO
405909;ADM;ABIEN;7;11;11;13;18;9;15;14;17;15;14;;221;F;19;CEG KPANDIYO
405910;AJ;;0;3;11;4;10;4;7;5;14;10;;6;113;F;17;CEG KPANDIYO
405911;ADM;PASS;0;8;10;4;16;7;13;10;14;12;;15;163;M;19;CEG KPANDIYO
405912;ADM;PASS;0;5;11;5;16;6;12;9;16;15;;14;164;F;15;CEG KPANDIYO
405913;ADM;PASS;0;6;11;9;15;4;16;11;17;13;;13;178;M;17;CEG KPANDIYO
405914;ADM;PASS;0;8;11;6;13;7;13;10;16;13;;11;164;F;18;CEG KPANDIYO
405915;ADM;ABIEN;0;16;11;10;18;12;16;15;16;10;;15;217;F;16;CEG KPANDIYO
405916;ADM;ABIEN;0;12;12;10;19;6;16;11;14;0;16;15;198;F;16;CEG KPANDIYO
405917;ADM;PASS;0;4;10;10;18;5;11;10;17;13;;14;173;M;19;CEG KPANDIYO
405918;AJ;;0;6;9;5;10;4;14;5;20;14;;12;146;F;16;CEG KPANDIYO
405919;ADM;PASS;0;7;10;5;12;8;12;9;18;15;;14;164;F;20;CEG KPANDIYO
405920;ADM;ABIEN;3;11;13;7;17;9;12;10;20;10;;13;193;F;16;CEG KPANDIYO
405921;AJ;;0;7;11;6;12;7;8;5;16;13;;13;143;M;17;CEG KPANDIYO
405922;AJ;;6;9;11;4;12;8;11;6;15;12;10;;151;F;16;CEG KPANDIYO
405923;ADM;PASS;0;2;12;9;13;5;17;10;17;15;18;;178;M;18;CPL LE PARISIEN
405924;ADM;PASS;0;10;10;6;15;11;15;11;14;11;10;;175;M;16;CEG KPANDIYO
405925;ADM;ABIEN;3;10;15;7;18;10;16;8;17;14;;17;204;F;17;CEG KPANDIYO
405926;ADM;PASS;0;9;13;6;13;10;14;8;16;15;;13;177;M;20;CEG KPANDIYO
405927;ADM;ABIEN;0;6;13;7;16;8;15;12;19;11;;16;192;M;18;CEG KPANDIYO
405928;ADM;PASS;1;6;12;5;14;6;15;7;15;15;;11;161;M;20;CEG KPANDIYO
405929;ADM;PASS;0;7;10;5;15;8;12;9;15;14;15;;164;M;20;CEG KPANDIYO
405930;ADM;PASS;0;4;10;8;16;7;15;10;16;0;11;11;170;M;16;CEG KPANDIYO
405931;AJ;;0;3;10;5;14;7;6;5;15;12;;12;131;F;14;CEG KPANDIYO
405932;ADM;PASS;0;12;13;7;15;6;15;4;17;13;;15;174;F;16;CEG KPANDIYO
405933;AJ;;0;9;10;5;14;6;8;6;15;15;;6;142;M;18;CEG KPANDIYO
405934;ADM;TBIEN;19;19;18;18;20;18;20;19;20;15;;18;314;M;15;CEG KPANDIYO
405935;ADM;PASS;0;9;10;5;16;6;16;8;18;11;15;;173;F;16;CEG KPANDIYO
405936;ADM;ABIEN;2;7;11;11;17;11;15;13;18;10;;11;202;M;14;CEG KPANDIYO
405937;AJ;;0;8;10;4;13;7;8;4;18;15;13;;144;M;17;CEG KPANDIYO
405938;AJ;;0;12;13;4;16;5;12;4;10;10;;11;141;M;18;CEG KPANDIYO
405939;ADM;PASS;1;8;12;8;10;7;15;9;11;15;;12;160;F;17;CEG KPANDIYO
405940;AJ;;0;6;11;3;8;5;10;4;13;15;;11;120;F;17;CEG KPANDIYO
405941;ADM;PASS;2;13;14;7;15;7;12;9;17;10;;13;180;F;16;CEG KPANDIYO
405942;ADM;ABIEN;10;14;13;10;16;7;18;10;14;12;15;;207;M;15;CPL LE PARISIEN
405943;ADM;ABIEN;0;10;14;11;17;9;18;11;18;10;;11;207;M;17;CEG KPANDIYO
405944;ADM;PASS;1;9;14;5;12;8;15;7;14;10;;11;161;M;17;CEG KPANDIYO
405945;ADM;ABIEN;0;17;13;14;16;8;16;12;13;11;;14;206;M;16;CEG KPANDIYO
405946;AJ;;7;10;10;4;10;7;12;4;10;12;;11;134;M;18;CEG KPANDIYO
405947;AJ;;0;15;13;4;12;6;13;3;15;14;;8;151;F;15;CEG KPANDIYO
405948;AJ;;0;3;11;3;11;10;11;5;14;11;;15;139;F;18;CEG KPANDIYO
405949;ADM;ABIEN;0;12;11;6;16;8;15;11;20;12;;16;193;M;16;CEG KPANDIYO
405950;ADM;PASS;6;10;11;7;11;6;14;6;16;12;;11;161;F;19;CEG KPANDIYO
405951;ADM;PASS;0;6;12;12;10;9;12;11;14;11;;12;169;F;17;CEG KPANDIYO
405952;AJ;;0;6;11;4;10;7;10;6;11;15;14;;133;F;14;CPL LE PARISIEN
405953;ADM;PASS;0;14;13;4;15;8;14;7;17;12;;8;172;F;17;CEG KPANDIYO
405954;ADM;BIEN;0;16;14;11;19;8;15;16;18;14;;12;224;M;15;CEG KPANDIYO
405955;ADM;BIEN;12;14;16;8;17;10;16;18;16;12;;11;231;F;15;CEG KPANDIYO
405956;AJ;;0;8;10;5;14;5;11;1;12;15;;13;132;M;18;CEG KPANDIYO
405957;AJ;;0;8;13;4;11;8;11;7;12;13;;11;144;F;20;CEG KPANDIYO
405958;ADM;PASS;1;13;11;7;11;6;10;8;17;11;;15;160;F;16;CEG KPANDIYO
405959;ADM;ABIEN;0;14;12;5;16;10;14;11;17;13;;15;192;F;14;CEG KPANDIYO
405960;AJ;;0;11;11;7;9;9;12;5;14;10;;4;145;M;16;CEG KPANDIYO
405961;ADM;PASS;3;14;11;9;10;11;12;9;15;10;16;;176;F;14;CPL LE PARISIEN
405962;ADM;PASS;11;15;12;6;14;7;13;13;10;12;;11;179;F;17;CEG KPANDIYO
405963;ADM;ABIEN;1;12;12;4;18;10;19;10;18;10;10;;195;F;24;CEG KPANDIYO
405964;AJ;;6;13;12;4;16;8;8;1;13;10;0;14;147;F;15;CEG KPANDIYO
405965;ADM;PASS;1;7;11;3;18;5;17;5;13;15;;13;160;F;15;CEG KPANDIYO
405966;ADM;PASS;12;10;12;7;15;8;17;9;14;10;;14;190;F;14;CEG KPANDIYO
405967;ADM;ABIEN;3;9;12;10;19;9;16;12;16;13;;16;208;M;17;CEG KPANDIYO
405968;ADM;ABIEN;6;9;15;9;19;9;20;11;18;10;;13;220;F;14;CEG KPANDIYO
405969;ADM;PASS;3;10;16;6;18;6;18;6;15;15;;13;191;M;18;CEG KPANDIYO
405970;ADM;PASS;0;6;11;3;15;9;13;7;17;12;;12;160;M;21;CEG KPANDIYO
405971;ADM;ABIEN;6;7;10;6;17;9;18;9;19;14;;12;195;M;18;CEG KPANDIYO
405972;AJ;;0;9;10;3;16;5;8;2;16;14;15;;138;F;18;CEG KPANDIYO
405973;ADM;ABIEN;9;8;15;6;16;10;16;7;19;15;14;;204;F;22;CPL LE PARISIEN
405974;AJ;;6;6;10;5;15;6;12;8;13;11;7;;151;F;19;CEG KPANDIYO
405975;ADM;ABIEN;8;8;10;9;17;8;18;10;16;15;;17;202;F;17;CEG KPANDIYO
405976;ADM;PASS;10;10;13;9;12;6;8;9;10;0;12;15;161;F;18;CEG KPANDIYO
405977;ADM;BIEN;10;8;15;11;17;12;18;11;19;11;;15;230;M;19;CEG KPANDIYO
405978;ADM;ABIEN;8;8;12;8;19;6;19;10;16;10;;13;199;M;16;CEG KPANDIYO
405979;AJ;;7;3;11;3;15;6;14;4;14;12;;11;147;F;17;CEG KPANDIYO
405980;ADM;PASS;0;5;11;5;16;9;16;8;15;14;10;;169;F;20;CEG KPANDIYO
405981;ADM;ABIEN;0;7;12;7;17;7;20;11;17;15;;16;199;M;16;CEG KPANDIYO
405982;ADM;ABIEN;3;13;13;8;18;9;20;10;17;10;;16;211;M;14;CEG KPANDIYO
405983;AJ;;0;1;14;3;12;5;10;2;16;15;;6;130;F;17;CEG KPANDIYO
405984;ADM;ABIEN;4;8;14;9;17;8;20;10;19;10;;11;207;M;14;CEG KPANDIYO
405985;AJ;;0;6;10;3;17;6;9;3;18;15;;13;146;M;18;CEG KPANDIYO
405986;AJ;;0;5;11;5;12;8;10;3;13;15;15;;139;F;15;CPL LE PARISIEN
405987;ADM;PASS;3;5;10;3;15;5;16;9;16;10;0;14;160;M;16;CEG KPANDIYO
405988;ADM;PASS;6;8;12;4;17;7;10;3;15;15;;17;160;F;15;CEG KPANDIYO
405989;ADM;PASS;0;10;12;10;14;8;15;9;15;14;15;;185;F;14;CPL LE PARISIEN
405990;ADM;PASS;2;7;13;10;17;10;17;7;13;13;;18;191;M;13;CEG KPANDIYO
405991;ADM;BIEN;10;17;12;9;20;14;18;14;16;10;;16;238;M;15;CEG KPANDIYO
