Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
609776;AJ;;0;8;7;3;15;11;11;4;11;15;8;;137;M;16;CEG KANKANGOU
609777;ADM;PASS;0;11;9;4;17;13;15;8;12;10;15;;172;M;14;CEG NAGBENI
609778;ADM;PASS;5;11;7;6;15;12;10;10;12;10;11;;161;F;20;CEG NAGBENI
609779;ADM;PASS;0;8;9;3;16;12;15;8;12;12;15;;165;M;23;CEG NAGBENI
609780;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;M;20;CEG KANKANGOU
609781;ADM;ABIEN;8;9;14;7;18;15;18;6;14;10;16;;206;M;16;CEG NAGBENI
609782;ADM;PASS;0;5;11;8;15;11;15;9;11;10;9;;165;M;13;CEG KPEBONGA
609783;ADM;ABIEN;1;14;10;7;16;12;15;13;13;15;11;;193;M;17;CEG KPEBONGA
609784;AJ;;0;6;10;4;13;12;13;4;12;13;14;;149;M;13;CEG NAGBENI
609785;ADM;TBIEN;18;17;15;9;17;18;18;17;15;10;17;;258;M;13;CEG NAGBENI
609786;ADM;PASS;0;8;10;8;14;9;14;15;12;14;18;;181;M;19;CEG NAGBENI
609787;ADM;ABIEN;5;7;11;5;18;14;15;8;14;15;16;;192;M;17;CEG NAGBENI
609788;ADM;PASS;0;12;12;7;16;12;11;7;12;13;16;;174;M;20;CEG NAGBENI
609789;AJ;;0;7;10;5;10;8;14;9;10;14;12;;145;F;22;CEG NAGBENI
609790;ADM;PASS;1;8;10;6;16;13;12;6;11;12;12;;161;F;21;CEG NAGBENI
609791;ADM;ABIEN;17;17;14;7;17;16;14;12;10;10;15;;219;M;17;CEG NAGBENI
609792;ADM;PASS;8;9;11;7;15;13;15;9;14;11;12;;188;M;21;CEG NAGBENI
609793;ADM;ABIEN;9;10;11;9;17;11;14;12;13;13;18;;201;M;19;CEG KANKANGOU
609794;ADM;PASS;0;2;9;9;13;13;14;10;10;14;8;;162;M;20;CEG NAGBENI
609795;ADM;ABIEN;16;9;13;6;16;13;15;11;11;11;11;;197;M;14;CEG NAGBENI
609796;ADM;PASS;1;5;10;7;15;10;14;8;11;13;11;;160;M;16;CEG NAGBENI
609797;ADM;PASS;0;8;10;3;16;15;13;7;14;10;11;;165;M;15;CEG KPEBONGA
609798;ADM;PASS;1;11;12;5;17;12;14;9;12;10;12;;176;M;15;CEG NAGBENI
609799;ADM;PASS;1;7;9;7;18;13;11;8;7;13;13;;160;F;16;CEG NAGBENI
609800;ADM;PASS;0;14;9;3;16;12;17;7;12;0;16;;171;M;17;CEG NAGBENI
609801;AJ;;0;4;10;5;15;11;11;7;9;13;5;;143;M;17;CEG NAGBENI
609802;ADM;ABIEN;1;11;11;10;17;12;14;13;12;11;16;;196;M;19;CEG KPEBONGA
609803;ADM;ABIEN;1;9;9;12;16;11;15;17;10;11;11;;192;F;22;CEG KPEBONGA
609804;ADM;PASS;10;14;10;3;16;13;16;11;10;14;13;;189;M;15;CEG NAGBENI
609805;ADM;PASS;0;3;11;6;17;11;15;11;10;11;7;;166;F;20;CEG KPEBONGA
609806;AJ;;1;5;8;4;10;11;12;4;10;10;15;;129;M;16;CEG NAGBENI
609807;AJ;;0;5;9;3;16;11;13;6;7;14;12;;141;M;18;CEG KANKANGOU
609808;ADM;ABIEN;19;16;14;4;19;13;13;7;13;10;16;;206;M;18;CEG NAGBENI
609809;ADM;PASS;2;10;10;8;16;11;10;9;9;10;13;;161;M;18;CEG KPEBONGA
609810;AJ;;0;10;7;5;12;12;11;5;5;13;16;;132;M;19;CEG NAGBENI
609811;ADM;PASS;0;8;10;5;13;17;15;6;9;13;15;;166;M;16;CEG NAGBENI
609812;ADM;PASS;0;8;8;5;15;14;15;8;10;11;16;;164;F;14;CEG NAGBENI
609813;ADM;ABIEN;9;13;13;5;16;18;15;7;11;10;18;;197;M;20;CEG NAGBENI
609814;AJ;;0;2;8;5;15;10;11;6;8;12;7;;130;M;20;CEG NAGBENI
609815;AJ;;0;4;9;5;10;5;10;5;10;11;5;;113;F;16;CEG NAGBENI
609816;ADM;PASS;10;17;11;5;17;12;12;6;9;11;16;;177;M;19;CEG NAGBENI
609817;AJ;;0;6;9;2;14;8;12;3;7;12;15;;123;M;18;CEG NAGBENI
609818;ADM;PASS;0;12;12;8;15;11;14;10;12;10;14;;180;M;20;CEG KPEBONGA
609819;AJ;;0;10;9;4;16;10;12;6;10;10;15;;149;M;21;CEG NAGBENI
609820;ADM;PASS;2;12;7;4;18;9;12;8;11;15;13;;160;F;16;CEG NAGBENI
609821;AJ;;0;6;6;5;12;9;15;7;8;13;13;;136;M;20;CEG NAGBENI
609822;ADM;PASS;2;7;10;6;14;14;12;5;12;12;13;;160;M;19;CEG NAGBENI
609823;ADM;ABIEN;13;11;8;7;20;14;15;9;12;10;14;;198;M;15;CEG KPEBONGA
609824;ADM;ABIEN;8;11;11;10;18;10;18;13;11;10;6;;201;M;16;CEG NAGBENI
609825;ADM;PASS;0;7;9;6;15;15;15;8;11;10;13;;168;M;18;CEG NAGBENI
609826;ADM;PASS;2;10;7;5;17;16;12;6;10;13;11;;162;M;17;CEG NAGBENI
609827;ADM;PASS;1;3;10;4;16;12;12;8;14;10;15;;161;M;15;CEG NAGBENI
609828;ADM;ABIEN;14;17;14;5;19;15;17;10;11;12;18;;220;F;16;CEG NAGBENI
609829;AJ;;0;6;10;4;17;11;11;2;13;12;18;;149;M;19;CEG NAGBENI
609830;AJ;;6;12;8;3;14;10;13;9;7;13;12;;151;F;20;CEG NAGBENI
609831;ADM;PASS;0;10;12;5;18;13;17;7;14;11;10;;183;M;21;CEG NAGBENI
609832;ADM;PASS;3;12;13;3;16;14;15;7;10;10;17;;176;F;15;CEG NAGBENI
609833;ADM;ABIEN;9;13;10;5;17;15;15;6;15;0;15;;193;M;15;CEG NAGBENI
609834;ADM;PASS;0;12;10;7;16;12;9;9;12;15;14;;171;M;19;CEG NAGBENI
